COD_HOSPITAL,year,n_cases,total_bed_days,mean_los,mean_drg_weight,complexity_weighted_cases,total_transfers,aggregate_caei,episode_caei_mean
110100,2021,465,8758.0,18.83440860215054,3.3419167741935483,1553.9913,511,5.6358101876117335,7.4234503115991695
110100,2022,767,12662.0,16.508474576271187,2.9083783572359843,2230.7262,796,5.676178457042375,7.6728943416438895
110120,2019,73,180.0,2.4657534246575343,1.2016931506849315,87.7236,24,2.0518993748546572,2.1423907782263707
110120,2020,67,1123.0,16.761194029850746,1.5092149253731344,101.1174,24,11.105902643857535,11.68898610470945
110120,2021,90,1454.0,16.155555555555555,1.37429,123.68610000000001,18,11.755565095835344,11.115606941049231
110120,2022,145,1937.0,13.358620689655172,1.3515475862068966,195.9744,38,9.883944025342085,10.486677185980106
111100,2019,1093,12147.0,11.11344922232388,2.1419057639524244,2341.103,881,5.188579912972647,6.229362059658324
111100,2020,803,8251.0,10.275217932752179,2.217538605230386,1780.6834999999999,927,4.633614002713003,5.239375808021286
111100,2021,289,3344.0,11.570934256055363,1.988160899653979,574.5785,111,5.819918427160084,7.03017618388933
111100,2022,463,5878.0,12.695464362850972,2.4183719222462203,1119.7062,122,5.249591366020836,7.166338306636463
111101,2019,289,4945.0,17.110726643598618,1.5296543252595156,442.0701,65,11.186008734813779,11.600369238647732
111101,2020,282,4269.0,15.138297872340425,1.5218656028368795,429.16610000000003,42,9.947197600183237,11.38440862084542
111101,2021,455,8210.0,18.043956043956044,1.7682052747252748,804.5334,107,10.204672671140813,11.503570405850107
111101,2022,466,8719.0,18.71030042918455,2.0195,941.087,119,9.264818236783634,9.698898767498155
111195,2021,65,932.0,14.338461538461539,3.933833846153846,255.6992,86,3.6449077666257854,3.9892249677250327
111195,2022,10,96.0,9.6,2.01468,20.1468,4,4.765024718565728,4.808694644387279
112100,2019,879,6331.0,7.202502844141069,1.147885210466439,1008.9911,340,6.274584582559748,5.988953873068259
112100,2020,577,4341.0,7.523396880415945,1.3107476603119586,756.3014000000001,342,5.7397751742889795,5.615384768266469
112100,2021,483,4126.0,8.542443064182194,1.3904115942028985,671.5688,237,6.143823238959285,6.460567534138998
112100,2022,548,3943.0,7.195255474452555,1.3995052919708029,766.9289,196,5.141284935278877,5.504554914565176
112102,2019,306,5099.0,16.663398692810457,4.967945424836601,1520.1913,463,3.354183121558451,3.157586027083457
112102,2020,259,5318.0,20.53281853281853,5.340217760617761,1383.1164,485,3.844940310157554,3.5012127451547572
112102,2021,307,5403.0,17.599348534201955,4.917107166123778,1509.5519,466,3.5792078430691916,3.39196248789568
112102,2022,253,4372.0,17.280632411067195,5.182187351778656,1311.0934,376,3.334621316833721,3.0389408916909515
112103,2019,1249,14520.0,11.625300240192153,3.1531951961569256,3938.3408,2074,3.686831774436585,4.164172399226443
112103,2020,666,10464.0,15.711711711711711,3.732308258258258,2485.7173,1485,4.209650067608251,4.8565121849262844
112103,2021,790,10711.0,13.558227848101266,3.5483553164556962,2803.2007,1556,3.8209893426467825,4.312141208904818
112103,2022,898,11864.0,13.211581291759465,3.570970601336303,3206.7316,2041,3.699717182442085,4.04707571249677
